Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.079,5,-528.469,-558.4686,-539.460738,0.3663,0.0024,0.0029
269.082,5.048,-528.293,-558.2934,-539.285499,0.3633,0.0024,0.0029
269.086,5.124,-528.012,-558.0116,-539.003736,0.3587,0.0023,0.0028
269.09,5.201,-527.725,-557.7248,-538.716911,0.3541,0.0023,0.0028
269.094,5.278,-527.433,-557.4329,-538.42498,0.3496,0.0023,0.0028
269.098,5.355,-527.136,-557.1358,-538.127897,0.3452,0.0023,0.0027
269.102,5.432,-526.834,-556.8335,-537.825617,0.3409,0.0022,0.0027
269.106,5.51,-526.526,-556.526,-537.518092,0.3367,0.0022,0.0027
269.11,5.588,-526.213,-556.2132,-537.205276,0.3325,0.0022,0.0026
269.114,5.666,-525.895,-555.895,-536.887122,0.3285,0.0021,0.0026
269.118,5.745,-525.571,-555.5715,-536.56358,0.3245,0.0021,0.0026
269.122,5.824,-525.243,-555.2425,-536.234604,0.3206,0.0021,0.0025
269.126,5.903,-524.908,-554.908,-535.900143,0.3167,0.0021,0.0025
269.131,5.983,-524.568,-554.568,-535.560148,0.313,0.002,0.0025
269.135,6.063,-524.222,-554.2225,-535.214569,0.3093,0.002,0.0024
269.139,6.143,-523.871,-553.8713,-534.863355,0.3057,0.002,0.0024
269.143,6.224,-523.514,-553.5144,-534.506455,0.3021,0.002,0.0024
269.147,6.305,-523.152,-553.1517,-534.143816,0.2986,0.0019,0.0024
269.151,6.386,-522.783,-552.7833,-533.775388,0.2952,0.0019,0.0023
269.156,6.468,-522.409,-552.409,-533.401116,0.2918,0.0019,0.0023
269.16,6.55,-522.029,-552.0288,-533.020947,0.2885,0.0019,0.0023
269.164,6.632,-521.643,-551.6427,-532.634826,0.2852,0.0019,0.0022
269.168,6.715,-521.251,-551.2506,-532.2427,0.282,0.0018,0.0022
269.173,6.798,-520.852,-550.8524,-531.844512,0.2789,0.0018,0.0022
269.177,6.882,-520.448,-550.4481,-531.440206,0.2758,0.0018,0.0022
269.181,6.965,-520.038,-550.0376,-531.029727,0.2728,0.0018,0.0021
269.185,7.05,-519.621,-549.6209,-530.613015,0.2698,0.0018,0.0021
269.19,7.134,-519.198,-549.1979,-530.190014,0.2669,0.0017,0.0021
269.194,7.219,-518.769,-548.7686,-529.760665,0.264,0.0017,0.0021
269.198,7.305,-518.333,-548.3328,-529.324908,0.2611,0.0017,0.0021
269.203,7.39,-517.891,-547.8906,-528.882684,0.2584,0.0017,0.002
269.207,7.476,-517.442,-547.4418,-528.433932,0.2556,0.0017,0.002
269.212,7.563,-516.986,-546.9865,-527.97859,0.2529,0.0017,0.002
269.216,7.65,-516.524,-546.5245,-527.516596,0.2503,0.0016,0.002
