Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.08,5,84.957,54.9569,73.964762,17.4649,25.7476,1.7421
269.082,5.048,84.957,54.9569,73.964762,17.3154,25.6247,1.7276
269.086,5.124,84.957,54.9569,73.964762,17.0813,25.4315,1.7049
269.09,5.201,84.957,54.9569,73.964762,16.8524,25.2418,1.6827
269.094,5.278,84.957,54.9569,73.964762,16.6285,25.0555,1.6609
269.098,5.355,84.957,54.9569,73.964762,16.4095,24.8724,1.6395
269.102,5.432,84.957,54.9569,73.964762,16.1952,24.6925,1.6186
269.106,5.51,84.957,54.9569,73.964762,15.9854,24.5156,1.5981
269.11,5.588,84.957,54.9569,73.964762,15.7801,24.3416,1.578
269.114,5.666,84.957,54.9569,73.964762,15.579,24.1705,1.5584
269.118,5.745,84.957,54.9569,73.964762,15.3821,24.0021,1.5391
269.122,5.824,84.957,54.9569,73.964762,15.1892,23.8364,1.5201
269.126,5.903,84.957,54.9569,73.964762,15.0002,23.6732,1.5016
269.131,5.983,84.957,54.9569,73.964762,14.815,23.5125,1.4834
269.135,6.063,84.957,54.9569,73.964762,14.6335,23.3542,1.4655
269.139,6.143,84.957,54.9569,73.964762,14.4556,23.1983,1.448
269.143,6.224,84.957,54.9569,73.964762,14.2811,23.0446,1.4308
269.147,6.305,84.957,54.9569,73.964762,14.11,22.893,1.4139
269.151,6.386,84.957,54.9569,73.964762,13.9421,22.7436,1.3974
269.156,6.468,84.957,54.9569,73.964762,13.7775,22.5961,1.3811
269.16,6.55,84.957,54.9569,73.964762,13.6159,22.4507,1.3651
269.164,6.632,84.957,54.9569,73.964762,13.4574,22.3071,1.3495
269.168,6.715,84.957,54.9569,73.964762,13.3018,22.1654,1.3341
269.173,6.798,84.957,54.9569,73.964762,13.149,22.0254,1.3189
269.177,6.882,84.957,54.9569,73.964762,12.999,21.8872,1.3041
269.181,6.965,84.957,54.9569,73.964762,12.8517,21.7506,1.2895
269.185,7.05,84.957,54.9569,73.964762,12.707,21.6157,1.2751
269.19,7.134,84.957,54.9569,73.964762,12.5648,21.4823,1.261
269.194,7.219,84.957,54.9569,73.964762,12.4252,21.3503,1.2472
269.198,7.305,84.957,54.9569,73.964762,12.2879,21.2199,1.2335
269.203,7.39,84.957,54.9569,73.964762,12.1531,21.0908,1.2201
269.207,7.476,84.957,54.9569,73.964762,12.0205,20.9631,1.207
269.212,7.563,84.957,54.9569,73.964762,11.8902,20.8367,1.194
269.216,7.65,84.957,54.9569,73.964762,11.762,20.7116,1.1813
269.22,7.737,84.957,54.9569,73.964762,11.636,20.5877,1.1687
269.225,7.825,84.957,54.9569,73.964762,11.5121,20.465,1.1564
269.229,7.913,84.957,54.9569,73.964762,11.3901,20.3434,1.1442
269.234,8.001,84.957,54.9569,73.964762,11.2702,20.223,1.1323
269.238,8.09,84.957,54.9569,73.964762,11.1522,20.1035,1.1205
269.243,8.18,84.957,54.9569,73.964762,11.0361,19.9851,1.109
269.247,8.27,84.957,54.9569,73.964762,10.9218,19.8677,1.0976
269.252,8.36,84.957,54.9569,73.964762,10.8093,19.7513,1.0863
