Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.08,5,75.045,45.0448,64.052668,9.7686,4.1595,0.253
269.082,5.048,75.045,45.0448,64.052668,9.6837,4.1371,0.2509
269.086,5.124,75.045,45.0448,64.052668,9.5509,4.1018,0.2476
269.09,5.201,75.045,45.0448,64.052668,9.4211,4.0672,0.2444
269.094,5.278,75.045,45.0448,64.052668,9.2942,4.0333,0.2412
269.098,5.355,75.045,45.0448,64.052668,9.1701,3.9999,0.2381
269.102,5.432,75.045,45.0448,64.052668,9.0487,3.9672,0.2351
269.106,5.51,75.045,45.0448,64.052668,8.93,3.935,0.2321
269.11,5.588,75.045,45.0448,64.052668,8.8138,3.9034,0.2292
269.114,5.666,75.045,45.0448,64.052668,8.7,3.8724,0.2264
269.118,5.745,75.045,45.0448,64.052668,8.5887,3.8418,0.2236
269.122,5.824,75.045,45.0448,64.052668,8.4796,3.8118,0.2208
269.126,5.903,75.045,45.0448,64.052668,8.3728,3.7823,0.2181
269.131,5.983,75.045,45.0448,64.052668,8.2682,3.7532,0.2155
269.135,6.063,75.045,45.0448,64.052668,8.1657,3.7246,0.2129
269.139,6.143,75.045,45.0448,64.052668,8.0653,3.6965,0.2103
269.143,6.224,75.045,45.0448,64.052668,7.9668,3.6687,0.2078
269.147,6.305,75.045,45.0448,64.052668,7.8703,3.6414,0.2054
269.151,6.386,75.045,45.0448,64.052668,7.7756,3.6145,0.203
269.156,6.468,75.045,45.0448,64.052668,7.6828,3.588,0.2006
269.16,6.55,75.045,45.0448,64.052668,7.5918,3.5619,0.1983
269.164,6.632,75.045,45.0448,64.052668,7.5024,3.5361,0.196
269.168,6.715,75.045,45.0448,64.052668,7.4148,3.5107,0.1938
269.173,6.798,75.045,45.0448,64.052668,7.3288,3.4856,0.1916
269.177,6.882,75.045,45.0448,64.052668,7.2443,3.4609,0.1894
