Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.08,5,55.414,25.4144,44.422336,0.3663,0.0024,0.0029
269.082,5.048,55.414,25.4144,44.422336,0.3633,0.0024,0.0029
269.086,5.124,55.414,25.4144,44.422336,0.3587,0.0023,0.0028
269.09,5.201,55.414,25.4144,44.422336,0.3541,0.0023,0.0028
269.094,5.278,55.414,25.4144,44.422336,0.3496,0.0023,0.0028
269.098,5.355,55.414,25.4144,44.422336,0.3452,0.0023,0.0027
269.102,5.432,55.414,25.4144,44.422336,0.3409,0.0022,0.0027
269.106,5.51,55.414,25.4144,44.422336,0.3367,0.0022,0.0027
269.11,5.588,55.414,25.4144,44.422336,0.3325,0.0022,0.0026
269.114,5.666,55.414,25.4144,44.422336,0.3285,0.0021,0.0026
269.118,5.745,55.414,25.4144,44.422336,0.3245,0.0021,0.0026
269.122,5.824,55.414,25.4144,44.422336,0.3206,0.0021,0.0025
269.126,5.903,55.414,25.4144,44.422336,0.3167,0.0021,0.0025
269.131,5.983,55.414,25.4144,44.422336,0.313,0.002,0.0025
269.135,6.063,55.414,25.4144,44.422336,0.3093,0.002,0.0024
269.139,6.143,55.414,25.4144,44.422336,0.3057,0.002,0.0024
269.143,6.224,55.414,25.4144,44.422336,0.3021,0.002,0.0024
269.147,6.305,55.414,25.4144,44.422336,0.2986,0.0019,0.0024
269.151,6.386,55.414,25.4144,44.422336,0.2952,0.0019,0.0023
269.156,6.468,55.414,25.4144,44.422336,0.2918,0.0019,0.0023
269.16,6.55,55.414,25.4144,44.422336,0.2885,0.0019,0.0023
269.164,6.632,55.414,25.4144,44.422336,0.2852,0.0019,0.0022
269.168,6.715,55.414,25.4144,44.422336,0.282,0.0018,0.0022
269.173,6.798,55.414,25.4144,44.422336,0.2789,0.0018,0.0022
269.177,6.882,55.414,25.4144,44.422336,0.2758,0.0018,0.0022
269.181,6.965,55.414,25.4144,44.422336,0.2728,0.0018,0.0021
269.185,7.05,55.414,25.4144,44.422336,0.2698,0.0018,0.0021
269.19,7.134,55.414,25.4144,44.422336,0.2669,0.0017,0.0021
269.194,7.219,55.414,25.4144,44.422336,0.264,0.0017,0.0021
269.198,7.305,55.414,25.4144,44.422336,0.2611,0.0017,0.0021
269.203,7.39,55.414,25.4144,44.422336,0.2584,0.0017,0.002
269.207,7.476,55.414,25.4144,44.422336,0.2556,0.0017,0.002
269.212,7.563,55.414,25.4144,44.422336,0.2529,0.0017,0.002
269.216,7.65,55.414,25.4144,44.422336,0.2503,0.0016,0.002
269.22,7.737,55.414,25.4144,44.422336,0.2476,0.0016,0.0019
269.225,7.825,55.414,25.4144,44.422336,0.2451,0.0016,0.0019
269.229,7.913,55.414,25.4144,44.422336,0.2425,0.0016,0.0019
269.234,8.001,55.414,25.4144,44.422336,0.24,0.0016,0.0019
269.238,8.09,55.414,25.4144,44.422336,0.2376,0.0016,0.0019
269.243,8.18,55.414,25.4144,44.422336,0.2352,0.0015,0.0018
269.247,8.27,55.414,25.4144,44.422336,0.2328,0.0015,0.0018
269.252,8.36,55.414,25.4144,44.422336,0.2304,0.0015,0.0018
269.256,8.45,55.414,25.4144,44.422336,0.2281,0.0015,0.0018
269.261,8.542,55.414,25.4144,44.422336,0.2259,0.0015,0.0018
269.266,8.633,55.414,25.4144,44.422336,0.2236,0.0015,0.0018
269.27,8.725,55.414,25.4144,44.422336,0.2214,0.0015,0.0017
269.275,8.818,55.414,25.4144,44.422336,0.2192,0.0014,0.0017
269.28,8.911,55.414,25.4144,44.422336,0.2171,0.0014,0.0017
269.284,9.004,55.414,25.4144,44.422336,0.215,0.0014,0.0017
269.289,9.098,55.414,25.4144,44.422336,0.2129,0.0014,0.0017
269.294,9.192,55.414,25.4144,44.422336,0.2108,0.0014,0.0017
269.298,9.287,55.414,25.4144,44.422336,0.2088,0.0014,0.0016
269.303,9.382,55.414,25.4144,44.422336,0.2068,0.0014,0.0016
269.308,9.478,55.414,25.4144,44.422336,0.2048,0.0014,0.0016
269.313,9.574,55.414,25.4144,44.422336,0.2029,0.0013,0.0016
269.318,9.671,55.414,25.4144,44.422336,0.2009,0.0013,0.0016
269.322,9.769,55.414,25.4144,44.422336,0.1991,0.0013,0.0016
269.327,9.866,55.414,25.4144,44.422336,0.1972,0.0013,0.0015
269.332,9.965,55.414,25.4144,44.422336,0.1953,0.0013,0.0015
269.337,10.064,55.414,25.4144,44.422336,0.1935,0.0013,0.0015
269.342,10.163,55.414,25.4144,44.422336,0.1917,0.0013,0.0015
269.347,10.263,55.414,25.4144,44.422336,0.19,0.0013,0.0015
269.352,10.364,55.414,25.4144,44.422336,0.1882,0.0013,0.0015
269.357,10.465,55.414,25.4144,44.422336,0.1865,0.0012,0.0015
269.362,10.566,55.414,25.4144,44.422336,0.1848,0.0012,0.0014
269.367,10.668,55.414,25.4144,44.422336,0.1831,0.0012,0.0014
269.372,10.771,55.414,25.4144,44.422336,0.1814,0.0012,0.0014
269.377,10.875,55.414,25.4144,44.422336,0.1798,0.0012,0.0014
269.382,10.978,55.414,25.4144,44.422336,0.1782,0.0012,0.0014
269.388,11.083,55.414,25.4144,44.422336,0.1766,0.0012,0.0014
269.393,11.188,55.414,25.4144,44.422336,0.175,0.0012,0.0014
269.398,11.294,55.414,25.4144,44.422336,0.1734,0.0012,0.0014
269.403,11.4,55.414,25.4144,44.422336,0.1719,0.0011,0.0013
269.408,11.507,55.414,25.4144,44.422336,0.1704,0.0011,0.0013
269.414,11.615,55.414,25.4144,44.422336,0.1689,0.0011,0.0013
269.419,11.723,55.414,25.4144,44.422336,0.1674,0.0011,0.0013
269.424,11.832,55.414,25.4144,44.422336,0.1659,0.0011,0.0013
269.43,11.941,55.414,25.4144,44.422336,0.1645,0.0011,0.0013
269.435,12.051,55.414,25.4144,44.422336,0.163,0.0011,0.0013
269.441,12.162,55.414,25.4144,44.422336,0.1616,0.0011,0.0013
269.446,12.273,55.414,25.4144,44.422336,0.1602,0.0011,0.0013
269.451,12.386,55.414,25.4144,44.422336,0.1588,0.0011,0.0012
269.457,12.498,55.414,25.4144,44.422336,0.1575,0.001,0.0012
269.463,12.612,55.414,25.4144,44.422336,0.1561,0.001,0.0012
269.468,12.726,55.414,25.4144,44.422336,0.1548,0.001,0.0012
269.474,12.841,55.414,25.4144,44.422336,0.1534,0.001,0.0012
269.479,12.957,55.414,25.4144,44.422336,0.1521,0.001,0.0012
269.485,13.073,55.414,25.4144,44.422336,0.1508,0.001,0.0012
269.491,13.19,55.414,25.4144,44.422336,0.1495,0.001,0.0012
269.496,13.308,55.414,25.4144,44.422336,0.1483,0.001,0.0012
269.502,13.427,55.414,25.4144,44.422336,0.147,0.001,0.0011
269.508,13.546,55.414,25.4144,44.422336,0.1458,0.001,0.0011
269.514,13.667,55.414,25.4144,44.422336,0.1446,0.001,0.0011
269.52,13.788,55.414,25.4144,44.422336,0.1433,0.0009,0.0011
269.526,13.909,55.414,25.4144,44.422336,0.1421,0.0009,0.0011
269.532,14.032,55.414,25.4144,44.422336,0.141,0.0009,0.0011
269.538,14.155,55.414,25.4144,44.422336,0.1398,0.0009,0.0011
269.544,14.28,55.414,25.4144,44.422336,0.1386,0.0009,0.0011
269.55,14.405,55.414,25.4144,44.422336,0.1375,0.0009,0.0011
269.556,14.531,55.414,25.4144,44.422336,0.1363,0.0009,0.0011
269.562,14.657,55.414,25.4144,44.422336,0.1352,0.0009,0.0011
269.568,14.785,55.414,25.4144,44.422336,0.1341,0.0009,0.001
269.574,14.914,55.414,25.4144,44.422336,0.133,0.0009,0.001
269.581,15.043,55.414,25.4144,44.422336,0.1319,0.0009,0.001
269.587,15.174,55.414,25.4144,44.422336,0.1308,0.0008,0.001
269.593,15.305,55.414,25.4144,44.422336,0.1297,0.0008,0.001
269.6,15.437,55.414,25.4144,44.422336,0.1287,0.0008,0.001
269.606,15.57,55.414,25.4144,44.422336,0.1276,0.0008,0.001
269.612,15.704,55.414,25.4144,44.422336,0.1266,0.0008,0.001
269.619,15.839,55.414,25.4144,44.422336,0.1255,0.0008,0.001
269.626,15.975,55.414,25.4144,44.422336,0.1245,0.0008,0.001
269.632,16.112,55.414,25.4144,44.422336,0.1235,0.0008,0.001
